id	top_neigh_count	top2_neigh_count
GBC662746	1	1
GBC662905	84	78
GBC663535	56	5
GBC664854	1	1
GBC666274	2	1
GBC667544	90	18
GBC669572	1	1
GBC671128	1	1
GBC671485	3	1
GBC672867	47	1
GBC673849	1	1
GBC675189	1	1
GBC675807	30	18
GBC677707	90	65
GBC677932	477	34
GBC679705	1	1
GBC680781	90	4
GBC681157	52	9
GBC682323	2323	2
GBC682326	20	2
GBC682718	20	3
GBC683376	55	1
GBC683400	2	2
GBC683580	74	22
GBC683591	38	22
GBC683670	22	8
GBC684290	2323	1
GBC684333	8	2
GBC684409	750	34
GBC684723	74	38
GBC684743	74	38
GBC684755	4	2
GBC684756	5	1
GBC684819	74	1
GBC684824	2323	1
GBC684857	4	3
GBC684979	38	8
GBC684989	8	5
GBC685093	4	2
GBC685096	38	4
GBC685097	2323	2
GBC685099	4	2
GBC685116	4	3
GBC685513	31	20
GBC686195	2	1
GBC686881	2	2
GBC687382	15	5
GBC690899	21	1
GBC692069	29	1
GBC692077	2	1
GBC694517	353	253
GBC694832	353	243
GBC694946	10	1
GBC694994	353	2
GBC695079	440	353
GBC695094	353	315
GBC695101	353	4
GBC695105	353	5
GBC695106	353	13
GBC695108	353	37
GBC695117	353	6
GBC695120	353	13
GBC698550	1	1
GBC698794	315	9
GBC700915	5	3
GBC701248	253	243
GBC701373	253	35
GBC701488	440	253
GBC701498	315	253
GBC701500	253	30
GBC701644	1	1
GBC701967	440	243
GBC701969	1	1
GBC701984	315	243
GBC701988	374	243
GBC702077	362	243
GBC702559	13	3
GBC702678	2	1
GBC702703	37	6
GBC702727	440	17
GBC702733	440	33
GBC702735	440	315
GBC702738	440	8
GBC702758	374	17
GBC702778	514	440
GBC702785	374	8
GBC702805	315	13
GBC702864	13	3
GBC702868	315	13
GBC702988	362	315
GBC702992	374	362
GBC703143	18	2
GBC703178	18	6
GBC703482	440	60
GBC703508	60	13
GBC703593	1	1
GBC703599	60	18
GBC703958	362	11
GBC704759	1	1
GBC706979	941	1
GBC707973	253	34
GBC708403	315	34
GBC709176	1	1
GBC709178	53	1
GBC709228	53	1
GBC709231	1	1
GBC711297	1	1
GBC713279	1	1
GBC714087	253	19
GBC719267	22	10
GBC719380	27	10
GBC719494	10	3
GBC720167	663	28
GBC720168	6	1
GBC723151	12	1
GBC723253	3	1
GBC723258	514	253
GBC723507	514	243
GBC723552	514	32
GBC723605	514	35
GBC723758	514	315
GBC723760	514	30
GBC723763	514	374
GBC723767	514	13
GBC723842	514	362
GBC724344	514	11
GBC725534	3	2
